win,threshold,hand
0,11,"Ten of Clubs||Three of Diamonds||(13 points)"
0,11,"Eight of Hearts||King of Spades||(18 points)"
1,11,"Four of Spades||Five of Diamonds||Eight of Hearts||(17 points)"
1,11,"Three of Diamonds||Six of Clubs||Two of Diamonds||Five of Hearts||(16 points)"
0,11,"Two of Clubs||Three of Hearts||Two of Spades||King of Diamonds||(17 points)"
0,11,"Queen of Diamonds||Jack of Clubs||(20 points)"
1,11,"Jack of Diamonds||Jack of Hearts||(20 points)"
1,11,"Jack of Hearts||Five of Diamonds||(15 points)"
0,11,"Ace of Spades||Five of Diamonds||(6 or 16 points)"
0,11,"Queen of Spades||Ten of Clubs||(20 points)"
0,11,"Nigh of Diamonds||Four of Hearts||(13 points)"
0,11,"Three of Diamonds||Seven of Spades||Two of Spades||(12 points)"
1,11,"Nigh of Spades||Eight of Clubs||(17 points)"
0,11,"Three of Diamonds||Queen of Clubs||(13 points)"
1,11,"Jack of Diamonds||Ace of Spades||(11 or 21 points)"
0,11,"Six of Diamonds||Seven of Diamonds||(13 points)"
0,11,"King of Spades||Queen of Clubs||(20 points)"
0,11,"Eight of Spades||Jack of Clubs||(18 points)"
1,11,"Eight of Spades||Two of Hearts||Ace of Clubs||(11 or 21 points)"
0,11,"King of Clubs||Two of Hearts||(12 points)"
0,11,"Six of Clubs||Eight of Hearts||(14 points)"
1,11,"King of Diamonds||Five of Spades||(15 points)"
0,11,"Four of Spades||Jack of Diamonds||(14 points)"
0,11,"Eight of Clubs||Jack of Spades||(18 points)"
0,11,"Eight of Spades||Six of Hearts||(14 points)"
0,11,"King of Spades||Five of Diamonds||(15 points)"
1,11,"Ten of Diamonds||Ace of Spades||(11 or 21 points)"
1,11,"Queen of Hearts||Queen of Diamonds||(20 points)"
0,11,"Two of Hearts||Six of Hearts||Four of Spades||(12 points)"
0,11,"Nigh of Hearts||Six of Diamonds||(15 points)"
1,11,"Two of Spades||Eight of Clubs||Eight of Diamonds||(18 points)"
0,11,"Six of Clubs||Queen of Clubs||(16 points)"
0,11,"Jack of Diamonds||King of Spades||(20 points)"
0,11,"Ten of Spades||Nigh of Spades||(19 points)"
0,11,"Six of Clubs||Two of Spades||Four of Hearts||(12 points)"
1,11,"Seven of Hearts||Ace of Spades||(8 or 18 points)"
1,11,"Five of Spades||Five of Clubs||Jack of Clubs||(20 points)"
0,11,"Six of Diamonds||Eight of Spades||(14 points)"
1,11,"Ace of Diamonds||Five of Hearts||(6 or 16 points)"
0,11,"Five of Diamonds||King of Spades||(15 points)"
1,11,"Five of Diamonds||Jack of Hearts||(15 points)"
0,11,"Jack of Clubs||Six of Diamonds||(16 points)"
1,11,"Jack of Hearts||Ten of Clubs||(20 points)"
1,11,"Three of Clubs||Ace of Hearts||(4 or 14 points)"
0,11,"Eight of Diamonds||King of Spades||(18 points)"
0,11,"Jack of Hearts||Seven of Diamonds||(17 points)"
0,11,"Ace of Hearts||Six of Diamonds||(7 or 17 points)"
1,11,"Seven of Hearts||Seven of Spades||(14 points)"
0,11,"Ten of Diamonds||Six of Hearts||(16 points)"
0,11,"Six of Clubs||Ten of Clubs||(16 points)"
1,11,"Ten of Clubs||Two of Diamonds||(12 points)"
1,11,"Jack of Hearts||Eight of Hearts||(18 points)"
1,11,"Five of Spades||Seven of Hearts||(12 points)"
0,11,"Five of Spades||Eight of Spades||(13 points)"
1,11,"Nigh of Diamonds||Nigh of Clubs||(18 points)"
0,11,"Nigh of Hearts||Ten of Diamonds||(19 points)"
1,11,"Four of Spades||Ten of Diamonds||(14 points)"
0,11,"Two of Hearts||Jack of Diamonds||(12 points)"
0,11,"King of Diamonds||Two of Clubs||(12 points)"
1,11,"Three of Clubs||Ace of Hearts||(4 or 14 points)"
0,11,"Six of Spades||Nigh of Hearts||(15 points)"
1,11,"Ace of Spades||Eight of Spades||(9 or 19 points)"
1,11,"Eight of Spades||Five of Hearts||(13 points)"
1,11,"Six of Diamonds||Queen of Clubs||(16 points)"
0,11,"Four of Clubs||Jack of Diamonds||(14 points)"
1,11,"Queen of Clubs||Eight of Clubs||(18 points)"
0,11,"Eight of Hearts||Two of Spades||Six of Spades||(16 points)"
0,11,"Six of Clubs||Two of Clubs||Five of Hearts||(13 points)"
0,11,"Nigh of Spades||Ten of Hearts||(19 points)"
1,11,"Ace of Hearts||King of Clubs||(11 or 21 points)"
1,11,"Queen of Clubs||King of Spades||(20 points)"
1,11,"Ace of Spades||Seven of Spades||(8 or 18 points)"
